Área,Cantidad desviaciones por área
Desposte,6454
Cortes Especiales,2013
Faena,1096
Despacho,611
Corrales,371
Congelado,257
Torre de Control,152
Servicios,124
Producción Animal,123
Ecualizado,119
Armado de Cajas,42
Personas,22
Administración,13
Informatica,13
Carton Freezer,12
CCEE,10
Romana de Camiones,8
Bodega,6
Lavado de Camiones,6
Mantención,4
Marinado,4
CDP,3
Control de producción,3
Resumen semanal,3
Calidad,2
Aseguramiento de Calidad,1
Butina,1
Calibrado  Fresco,1
Cambio de Embalaje,1
Cumplimiento de produccion,1
Paletizado,1
Pimentado,1
Planta  Rosario,1
Porcionado,1
Rectificado,1
Sala de Laminado,1
SkyView,1
SSO,1
Torre Producción Animal,1
