Área,Desviación,Recuento de Desviación
Desposte,D1,781
Desposte,D2,692
Desposte,D4,429
Faena,D1,423
Cortes Especiales,D1,395
Desposte,D3,366
Despacho,D1,257
Cortes Especiales,D4,191
Corrales,D1,173
Cortes Especiales,D2,131
Cortes Especiales,D3,115
Faena,D4,112
Congelado,D1,87
Congelado,D4,68
Faena,D2,66
Torre de Control,D1,66
Ecualizado,D1,56
Producción Animal,D1,53
Faena,D3,38
Servicios,D1,37
Despacho,D2,36
Despacho,D4,30
Congelado,D2,27
Torre de Control,D2,24
Armado de Cajas,D1,21
Servicios,D2,19
Congelado,D3,17
Servicios,D3,17
Ecualizado,D2,14
Corrales,D4,13
Servicios,D4,13
Torre de Control,D4,9
Ecualizado,D4,7
Armado de Cajas,D3,6
Armado de Cajas,D4,6
Despacho,D3,6
Ecualizado,D3,6
Romana de Camiones,D1,6
Administración,D1,5
Bodega,D1,5
Informatica,D2,5
Torre de Control,D3,5
Armado de Cajas,D2,4
Lavado de Camiones,D1,4
Personas,D1,4
Carton Freezer,D1,3
CDP,D1,3
Informatica,D4,3
Mantención,D1,3
Marinado,D1,3
Control de producción,D4,2
Lavado de Camiones,D3,2
Producción Animal,D2,2
Administración,D2,1
Administración,D4,1
Aseguramiento de Calidad,D1,1
Butina,D1,1
Calidad,D1,1
Calidad,D4,1
Cambio de Embalaje,D1,1
CCEE,D1,1
CCEE,D4,1
Control de producción,D1,1
Cumplimiento de produccion,D4,1
Informatica,D1,1
Informatica,D3,1
Mantención,D2,1
Paletizado,D4,1
Rectificado,D1,1
Resumen semanal,D1,1
Sala de Laminado,D1,1
SkyView,D4,1
SSO,D4,1
